scenario_id,scenario_description,time,S,E,I,R,beta,sigma,gamma
baseline,"Baseline: beta=0.5, sigma=0.2, gamma=0.1",0.0,0.99,0.01,0.0,0.0,0.5,0.2,0.1
baseline,"Baseline: beta=0.5, sigma=0.2, gamma=0.1",1.0,0.99,0.008,0.002,0.0,0.5,0.2,0.1
baseline,"Baseline: beta=0.5, sigma=0.2, gamma=0.1",2.0,0.98901,0.00739,0.0034000000000000002,0.0002,0.5,0.2,0.1
baseline,"Baseline: beta=0.5, sigma=0.2, gamma=0.1",3.0,0.987328683,0.007593317,0.004538,0.00054,0.5,0.2,0.1
baseline,"Baseline: beta=0.5, sigma=0.2, gamma=0.1",4.0,0.985088434218273,0.008314902381727,0.005602863400000001,0.0009938,0.5,0.2,0.1
baseline,"Baseline: beta=0.5, sigma=0.2, gamma=0.1",5.0,0.9823287762513505,0.009411579872304034,0.0067055575363454,0.00155408634,0.5,0.2,0.1
baseline,"Baseline: beta=0.5, sigma=0.2, gamma=0.1",6.0,0.9790352451869699,0.010822794962223827,0.007917317757171667,0.00222464209363454,0.5,0.2,0.1
baseline,"Baseline: beta=0.5, sigma=0.2, gamma=0.1",7.0,0.9751595786211621,0.012533902535586918,0.009290144973899267,0.0030163738693517067,0.5,0.2,0.1
baseline,"Baseline: beta=0.5, sigma=0.2, gamma=0.1",8.0,0.9706298916921235,0.014556808957508091,0.010867910983626723,0.003945388366741633,0.5,0.2,0.1
baseline,"Baseline: beta=0.5, sigma=0.2, gamma=0.1",9.0,0.9653555320616449,0.016919806796485096,0.01269248167676567,0.005032179465104305,0.5,0.2,0.1
baseline,"Baseline: beta=0.5, sigma=0.2, gamma=0.1",10.0,0.9592291533605165,0.01966222413831648,0.014807194868386123,0.006301427632780872,0.5,0.2,0.1
baseline,"Baseline: beta=0.5, sigma=0.2, gamma=0.1",11.0,0.9521274068618935,0.022831525809276287,0.017258920209210805,0.007782147119619484,0.5,0.2,0.1
baseline,"Baseline: beta=0.5, sigma=0.2, gamma=0.1",12.0,0.9439110613898773,0.026481566119437135,0.020099333350144983,0.009508039140540565,0.5,0.2,0.1
baseline,"Baseline: beta=0.5, sigma=0.2, gamma=0.1",13.0,0.9344250698519951,0.030671244433431864,0.023385713239017912,0.011517972475555064,0.5,0.2,0.1
baseline,"Baseline: beta=0.5, sigma=0.2, gamma=0.1",14.0,0.9234989714885411,0.035463093910199514,0.027181390801802492,0.013856543799456856,0.5,0.2,0.1
baseline,"Baseline: beta=0.5, sigma=0.2, gamma=0.1",15.0,0.9109479782639948,0.04092146835270596,0.031555870503662146,0.016574682879637107,0.5,0.2,0.1
baseline,"Baseline: beta=0.5, sigma=0.2, gamma=0.1",16.0,0.8965751000451591,0.047110052901000496,0.03658457712383713,0.019730269930003323,0.5,0.2,0.1
baseline,"Baseline: beta=0.5, sigma=0.2, gamma=0.1",17.0,0.880174689597702,0.05408845276825745,0.042348129991653514,0.023388727642387037,0.5,0.2,0.1
baseline,"Baseline: beta=0.5, sigma=0.2, gamma=0.1",18.0,0.8615378135124786,0.06190763829982934,0.04893100754613965,0.02762354064155239,0.5,0.2,0.1
baseline,"Baseline: beta=0.5, sigma=0.2, gamma=0.1",19.0,0.8404598568853467,0.07060406726699535,0.05641943445149156,0.032516641396166356,0.5,0.2,0.1
baseline,"Baseline: beta=0.5, sigma=0.2, gamma=0.1",20.0,0.8167507219830203,0.08019238871592267,0.06489830445974147,0.03815858484131551,0.5,0.2,0.1
